EPOCHS_EMPTY_FROM_MVT_TMIN,EPOCHS_LENGTH,EPOCHS_TMIN,FMAX,FMIN,pipeline,cov__estimator,score_A,score_B,score_C,score_X,duration_preprocessing,duration_train,memory,FILE_PATH,NUMBER_OF_SESSIONS,RANDOM_STATE,N_SPLIT,BINARY_CLASSIFICATION,VERSION,PATH_RESULTS,NAME_RESULTS,PATH_DATA_PROCESSED,FOLDER_RESULTS_ITERATIONS,NAME_RESULTS_ITERATIONS,LOG_FOLDER,SAVE_EACH_ITERATION,REMOVE_ITERATIONS,REMOVE_DATA_PROCESSED,pipeline_name,model,pipeline_step_1,pipeline_step_2,pipeline_step_3,mean_score,mean_ABC,version
-6,1.7,-0.75,30,9,"Pipeline(steps=[('cov', Covariances(estimator='oas')), ('ts', TangentSpace()), ('ss', StandardScaler()), ('clf', RandomForestClassifier())])",oas,0.8027220776282318,0.7964859915160719,0.7183906804300977,0.8118088402298802,425.77269172668457,304.96848917007446,2542.9375,./../../../data/raw/Data_npy/,-1,42,4,True,1,./results/,many_pipelines_MVT_search_preproc,./data/processed/,/iterations/,many_pipelines_MVT_search_preproc_iter,./logs/,True,True,True,cov_ts_ss,RandForest,cov,ts,ss,0.7823518974510704,0.7725329165248004,v1
-6,1.7,-0.75,30,9,"Pipeline(steps=[('cov', Covariances(estimator='oas')), ('ts', TangentSpace()),
                ('ss', StandardScaler()), ('clf', SVC())])",oas,0.8553145359027101,0.8398040446418782,0.7611696797461018,0.8565522955697209,492.482501745224,294.44576120376587,1885.15625,./../../../data/raw/Data_npy/,-1,42,4,True,1,./results/,many_pipelines_MVT_search_preproc,./data/processed/,/iterations/,many_pipelines_MVT_search_preproc_iter,./logs/,True,True,True,cov_ts_ss,SVC,cov,ts,ss,0.8282101389651028,0.8187627534302301,v1
-6,1.7,-0.75,30,9,"Pipeline(steps=[('csp',
                 CSP({'component_order': 'mutual_info',
 'cov_est': 'concat',
 'cov_method_params': None,
 'log': True,
 'n_components': 4,
 'norm_trace': False,
 'rank': None,
 'reg': None,
 'transform_into': 'average_power'})),
                ('clf', AdaBoostClassifier())])",,0.6998334457715446,0.7114325045630985,0.6939970580172219,0.709978178934352,492.482501745224,440.6961345672608,1755.01171875,./../../../data/raw/Data_npy/,-1,42,4,True,1,./results/,many_pipelines_MVT_search_preproc,./data/processed/,/iterations/,many_pipelines_MVT_search_preproc_iter,./logs/,True,True,True,csp,AdaBoost,csp,no_step,no_step,0.7038102968215543,0.7017543361172883,v1
-6,1.7,-0.75,30,9,"Pipeline(steps=[('vec', MyVectorizer()), ('ss', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",,0.4923826991324497,0.4831573076856377,0.4909301805316881,0.4931737355401762,492.482501745224,2418.6051783561707,1794.69140625,./../../../data/raw/Data_npy/,-1,42,4,True,1,./results/,many_pipelines_MVT_search_preproc,./data/processed/,/iterations/,many_pipelines_MVT_search_preproc_iter,./logs/,True,True,True,vec_ss,LDA,vec,ss,no_step,0.4899109807224879,0.48882339578325845,v1
-6,1.7,-0.75,30,9,"Pipeline(steps=[('cov', Covariances(estimator='oas')), ('ts', TangentSpace()),
                ('ss', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",oas,0.7967015657414289,0.759258279131106,0.722537688997835,0.794199961238621,689.8889927864075,251.01304483413696,1931.30859375,./../../../data/raw/Data_npy/,-1,42,4,True,1,./results/,many_pipelines_MVT_search_preproc,./data/processed/,/iterations/,many_pipelines_MVT_search_preproc_iter,./logs/,True,True,True,cov_ts_ss,LDA,cov,ts,ss,0.7681743737772477,0.75949917795679,v1
-6,1.7,-0.75,30,9,"Pipeline(steps=[('xdawn', XdawnCovariances()), ('vec', MyVectorizer()),
                ('ss', StandardScaler()), ('clf', RandomForestClassifier())])",,0.6301406209348299,0.6237747626905834,0.5879554443179074,0.6445539341511822,689.8889927864075,198.609436750412,1741.65625,./../../../data/raw/Data_npy/,-1,42,4,True,1,./results/,many_pipelines_MVT_search_preproc,./data/processed/,/iterations/,many_pipelines_MVT_search_preproc_iter,./logs/,True,True,True,xdawn_ss,RandForest,xdawn,vec,ss,0.6216061905236258,0.6139569426477736,v1
-6,1.7,-0.75,30,9,"Pipeline(steps=[('xdawn', XdawnCovariances()), ('vec', MyVectorizer()), ('ss', StandardScaler()), ('clf', SVC())])",,0.544365960361064,0.5655501717621088,0.5606945644127472,0.5626885416369471,696.7419068813324,186.4618661403656,1763.2109375,./../../../data/raw/Data_npy/,-1,42,4,True,1,./results/,many_pipelines_MVT_search_preproc,./data/processed/,/iterations/,many_pipelines_MVT_search_preproc_iter,./logs/,True,True,True,xdawn_ss,SVC,xdawn,vec,ss,0.5583248095432167,0.55687023217864,v1
-6,1.7,-0.75,30,9,"Pipeline(steps=[('cov', Covariances(estimator='oas')), ('ts', TangentSpace()),
                ('ss', StandardScaler()), ('clf', AdaBoostClassifier())])",oas,0.7690062800223412,0.7444909925824558,0.6909719955634783,0.7701746781050962,434.112628698349,401.0440740585327,2540.96484375,./../../../data/raw/Data_npy/,-1,42,4,True,1,./results/,many_pipelines_MVT_search_preproc,./data/processed/,/iterations/,many_pipelines_MVT_search_preproc_iter,./logs/,True,True,True,cov_ts_ss,AdaBoost,cov,ts,ss,0.743660986568343,0.7348230893894252,v1
-6,1.7,-0.75,30,9,"Pipeline(steps=[('xdawn', XdawnCovariances()), ('vec', MyVectorizer()),
                ('ss', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",,0.5837699742692302,0.5889358539964353,0.5600268447992884,0.5876197056621952,434.112628698349,126.49402356147766,1758.71875,./../../../data/raw/Data_npy/,-1,42,4,True,1,./results/,many_pipelines_MVT_search_preproc,./data/processed/,/iterations/,many_pipelines_MVT_search_preproc_iter,./logs/,True,True,True,xdawn_ss,LDA,xdawn,vec,ss,0.5800880946817872,0.577577557688318,v1
-6,1.7,-0.75,30,9,"Pipeline(steps=[('csp',
                 CSP({'component_order': 'mutual_info',
 'cov_est': 'concat',
 'cov_method_params': None,
 'log': True,
 'n_components': 4,
 'norm_trace': False,
 'rank': None,
 'reg': None,
 'transform_into': 'average_power'})),
                ('clf', RandomForestClassifier())])",,0.7216116372491118,0.7067596251443471,0.6714040974489538,0.7292020370534948,696.9299349784851,457.6775689125061,1929.63671875,./../../../data/raw/Data_npy/,-1,42,4,True,1,./results/,many_pipelines_MVT_search_preproc,./data/processed/,/iterations/,many_pipelines_MVT_search_preproc_iter,./logs/,True,True,True,csp,RandForest,csp,no_step,no_step,0.7072443492239768,0.6999251199474709,v1
